city,country,lat,lon,temp,temp_max,windspeed,cloudall,humidity
coquimbo,CL,-29.9533,-71.3436,60.53,60.53,11.5,20,55
bethel,US,41.3712,-73.414,61.88,64.04,1.99,90,83
puerto ayora,EC,-0.7393,-90.3518,71.55,76.96,5.99,90,87
punta arenas,CL,-53.15,-70.9167,55.51,55.51,28.77,40,54
qaanaaq,GL,77.484,-69.3632,28.26,28.26,13.51,100,80
borazjan,IR,29.2666,51.2159,87.13,87.13,2.93,0,14
ushuaia,AR,-54.8,-68.3,53.26,53.26,13.8,40,62
kavaratti,IN,10.5669,72.642,82.2,82.2,10.63,99,80
rikitea,PF,-23.1203,-134.9692,74.34,74.34,17.94,100,82
vilcun,CL,-38.65,-72.2333,68.74,68.74,2.91,0,55
salalah,OM,17.0151,54.0924,80.69,80.69,8.05,20,89
waipawa,NZ,-41.4122,175.5153,53.55,55.45,12.93,76,73
kaitangata,NZ,-46.2817,169.8464,52.05,52.05,2.84,2,63
narrabri,AU,-30.3167,149.7833,75.29,75.29,24.16,59,50
maple creek,CA,49.9168,-109.4848,65.89,66.25,14.97,23,20
bonthe,SL,7.5264,-12.505,79.18,79.18,7.56,100,84
ponta do sol,PT,32.6667,-17.1,71.02,73.0,5.35,24,72
zonguldak,TR,41.25,31.8333,50.9,50.9,1.34,35,95
georgetown,MY,5.4112,100.3354,79.97,80.89,3.44,20,89
barranca,PE,-10.75,-77.7667,65.21,65.21,9.84,63,80
bilibino,RU,68.0546,166.4372,4.59,4.59,0.72,100,97
saint marys,US,30.7305,-81.5465,81.0,86.22,1.99,75,74
richards bay,ZA,-28.783,32.0377,67.48,67.48,17.87,100,76
busselton,AU,-33.65,115.3333,38.05,41.09,7.76,93,79
mataura,NZ,-46.1927,168.8643,53.47,53.47,2.86,4,58
rio grande,BR,-32.035,-52.0986,63.95,64.51,15.19,99,74
mildura,AU,-34.2,142.15,49.96,50.07,11.5,100,81
agadir,MA,30.4202,-9.5982,64.85,64.85,8.03,52,75
vestmannaeyjar,IS,63.4427,-20.2734,46.0,46.0,7.76,100,81
tura,IN,25.5198,90.2201,73.38,73.38,2.21,2,86
nautla,MX,20.2167,-96.7833,82.72,82.72,9.17,14,76
limbang,MY,4.75,115.0,80.37,80.91,1.97,100,97
yinchuan,CN,38.4681,106.2731,45.97,45.97,4.99,100,30
deputatskiy,RU,69.3,139.9,16.9,16.9,4.92,100,86
braco do norte,BR,-28.275,-49.1656,64.56,66.25,2.04,100,98
cumra,TR,37.5732,32.7745,59.14,59.14,1.59,0,25
rock springs,US,41.5875,-109.2029,50.14,54.05,10.0,75,61
carnarvon,AU,-24.8667,113.6333,57.27,57.27,11.5,0,72
puteyets,RU,65.1716,57.091,30.31,30.31,5.28,16,83
thompson,CA,55.7435,-97.8558,53.76,53.76,8.05,20,47
gore,NZ,-46.1028,168.9436,53.22,53.22,2.04,4,63
port elizabeth,ZA,-33.918,25.5701,59.09,59.09,13.76,4,73
lavrentiya,RU,65.5833,-171.0,30.52,30.52,9.82,73,80
hermanus,ZA,-34.4187,19.2345,49.8,59.9,8.37,0,78
magadi,IN,12.9667,77.2333,70.14,70.14,5.93,100,96
new norfolk,AU,-42.7826,147.0587,47.44,48.7,6.24,49,48
kruisfontein,ZA,-34.0033,24.7314,56.88,56.88,10.54,3,80
araguaina,BR,-7.1911,-48.2072,90.32,90.32,2.17,90,36
saldanha,ZA,-33.0117,17.9442,58.33,58.33,14.92,0,78
orchard homes,US,46.8633,-114.0484,59.79,60.94,7.0,1,29
tasiilaq,GL,65.6145,-37.6368,33.96,33.96,4.29,10,88
cabo san lucas,MX,22.8909,-109.9124,92.23,98.51,4.0,1,60
okakarara,NA,-20.5833,17.4333,67.55,67.55,6.6,1,7
cidreira,BR,-30.1811,-50.2056,63.75,63.75,19.42,100,86
vaini,TO,-21.2,-175.2,77.16,77.16,3.44,20,83
provideniya,RU,64.3833,-173.3,30.52,30.52,5.17,29,77
hithadhoo,MV,-0.6,73.0833,82.78,82.78,9.57,100,70
hami,CN,42.8,93.45,42.8,42.8,4.81,0,36
esperance,AU,-33.8667,121.9,48.04,48.04,5.23,100,59
marzuq,YE,14.4,46.4667,76.57,76.57,1.14,32,64
cape town,ZA,-33.9258,18.4232,58.77,60.12,5.75,0,65
hobart,AU,-42.8794,147.3294,48.25,49.05,1.99,20,62
longyearbyen,SJ,78.2186,15.6401,17.44,17.44,9.22,20,86
san cristobal,VE,7.7669,-72.225,77.18,77.18,3.33,64,62
tiarei,PF,-17.5333,-149.3333,84.22,84.22,4.07,9,70
vrangel,RU,42.7297,133.0839,63.36,63.36,13.87,100,92
torrijos,ES,39.9819,-4.2835,68.95,71.85,4.47,85,50
chuy,UY,-33.6971,-53.4616,59.58,59.58,9.82,17,73
bluff,NZ,-46.6,168.3333,53.8,53.8,8.79,77,76
lorengau,PG,-2.0226,147.2712,80.98,80.98,2.17,100,79
atocha,BO,-20.9333,-66.2333,62.83,62.83,20.89,7,18
temozon,MX,20.8,-88.2167,91.08,91.08,4.41,66,50
dikson,RU,73.5069,80.5464,30.18,30.18,24.34,100,60
fortuna,US,40.5982,-124.1573,64.06,69.48,7.0,5,55
lagoa,PT,39.05,-27.9833,69.49,69.49,20.42,77,78
sao felix do xingu,BR,-6.6447,-51.995,88.21,88.21,2.53,79,40
kapaa,US,22.0752,-159.319,80.62,84.18,5.99,40,71
vanavara,RU,60.34,102.2797,35.29,35.29,11.7,100,96
yellowknife,CA,62.456,-114.3525,43.54,44.42,4.0,90,99
albany,US,42.6001,-73.9662,62.1,64.63,7.99,100,74
atuona,PF,-9.8,-139.0333,78.08,78.08,18.59,8,72
butaritari,KI,3.0707,172.7902,82.45,82.45,12.3,100,66
hasaki,JP,35.7333,140.8333,66.04,66.6,4.63,19,83
arman,RU,59.7,150.1667,27.55,27.55,5.39,4,57
zhigansk,RU,66.7697,123.3711,33.19,33.19,19.06,100,99
aranos,NA,-24.1333,19.1167,61.72,61.72,12.82,0,13
port-gentil,GA,-0.7193,8.7815,78.76,78.76,12.66,75,89
veinticinco de mayo,AR,-35.4323,-60.1727,66.97,69.06,1.99,1,50
launceston,AU,-41.45,147.1667,46.94,47.8,4.0,8,77
sitka,US,57.0531,-135.33,49.89,49.89,11.5,90,62
port said,EG,31.2565,32.2841,76.46,76.46,11.95,0,63
arkansas city,US,37.062,-97.0384,94.37,96.42,23.94,100,20
khatanga,RU,71.9667,102.5,17.2,17.2,0.76,100,97
noumea,NC,-22.2763,166.4572,73.99,75.18,12.5,17,99
akureyri,IS,65.6835,-18.0878,40.93,40.93,5.75,90,87
port alfred,ZA,-33.5906,26.891,59.94,59.94,17.52,10,73
castro,BR,-24.7911,-50.0119,56.32,56.32,6.46,100,99
pangkalanbuun,ID,-2.6833,111.6167,74.41,74.41,1.77,69,98
warrington,GB,53.3925,-2.5802,58.35,59.79,1.01,75,93
alagoinhas,BR,-12.1356,-38.4192,71.44,71.44,6.2,12,89
avarua,CK,-21.2078,-159.775,78.85,78.85,5.75,40,53
arraial do cabo,BR,-22.9661,-42.0278,69.66,69.76,13.8,90,68
kirksville,US,40.1948,-92.5833,76.95,76.95,17.27,1,61
ribeira grande,PT,38.5167,-28.7,71.15,71.15,19.55,64,79
saint george,US,37.1041,-113.5841,72.41,75.63,1.99,1,31
rio cuarto,AR,-33.1307,-64.3499,70.21,71.37,14.97,0,33
bagdarin,RU,54.4333,113.6,27.55,27.55,3.29,19,78
victoria,HK,22.2855,114.1577,80.08,80.65,1.01,100,94
quatre cocos,MU,-20.2078,57.7625,72.09,72.09,17.56,13,76
pangnirtung,CA,66.1451,-65.7125,32.74,32.74,1.5,83,91
japoata,BR,-10.3467,-36.8011,71.38,71.38,5.23,58,86
diffa,NE,13.3154,12.6113,87.62,87.62,6.24,18,16
san felipe,VE,10.3399,-68.7425,78.6,78.6,6.35,93,77
muisne,EC,0.6,-80.0333,82.51,82.51,6.55,87,80
anadyr,RU,64.75,177.4833,26.01,27.1,1.99,40,92
bose,IT,45.4612,8.0137,53.85,56.14,1.21,100,86
bonwapitse,BW,-23.0766,26.7037,75.69,75.69,7.4,0,22
bambanglipuro,ID,-7.95,110.2833,57.6,57.6,3.02,41,91
nouadhibou,MR,20.931,-17.0347,73.38,73.38,11.5,91,68
vestmanna,FO,62.1564,-7.1664,49.12,49.12,16.11,90,100
lebu,CL,-37.6167,-73.65,55.15,55.15,9.55,0,78
dunedin,NZ,-45.8742,170.5036,54.81,54.81,5.99,1,70
whitehorse,CA,60.7161,-135.0538,44.83,45.37,18.01,75,45
pisco,PE,-13.7,-76.2167,66.25,67.01,9.22,0,72
barrow,US,71.2906,-156.7887,32.02,32.02,3.44,90,69
constitucion,CL,-35.3333,-72.4167,54.95,54.95,5.88,38,81
mookane,BW,-23.688,26.6595,74.8,74.8,7.2,0,18
east london,ZA,-33.0153,27.9116,61.21,61.21,17.58,4,68
pierre,US,44.3683,-100.351,63.84,64.27,1.01,90,86
atasu,KZ,48.6814,71.6433,44.53,44.53,1.23,100,49
gizo,SB,-8.103,156.8419,82.47,82.47,5.17,74,73
cherskiy,RU,68.75,161.3,9.97,9.97,5.44,99,96
sao joao da barra,BR,-21.6403,-41.0511,71.69,71.69,8.97,100,78
muros,ES,42.7762,-9.0603,61.81,65.23,13.78,55,70
ancud,CL,-41.8697,-73.8203,62.13,62.13,6.6,0,81
bredasdorp,ZA,-34.5322,20.0403,51.12,51.12,5.75,0,87
waddan,LY,29.1614,16.139,78.37,78.37,11.39,2,19
alofi,NU,-19.0595,-169.9187,80.49,80.49,5.75,98,78
la ronge,CA,55.1001,-105.2842,59.25,59.25,5.75,40,20
san patricio,US,28.017,-97.5169,85.95,91.81,13.53,0,48
mar del plata,AR,-38.0023,-57.5575,53.89,57.99,15.01,0,66
florence,IT,43.7667,11.25,55.38,57.56,9.22,0,63
tuktoyaktuk,CA,69.4541,-133.0374,32.0,32.0,8.05,90,93
armidale,AU,-30.5167,151.65,66.67,66.67,14.05,61,56
flinders,AU,-34.5833,150.8552,63.72,65.21,1.01,75,82
aykhal,RU,66.0,111.5,32.31,32.31,14.27,100,98
kalmunai,LK,7.4167,81.8167,80.47,80.47,4.43,100,73
myre,NO,69.1036,15.9492,48.11,48.15,12.41,100,92
jamestown,US,42.097,-79.2353,64.4,67.59,8.01,90,89
peruibe,BR,-24.32,-46.9983,65.59,65.59,8.99,100,96
grindavik,IS,63.8424,-22.4338,43.27,44.55,17.27,75,93
sur,OM,22.5667,59.5289,82.96,82.96,6.96,5,52
ugoofaaru,MV,5.6667,73.0,82.85,82.85,16.08,99,79
boshnyakovo,RU,49.6333,142.1667,51.17,51.17,16.15,100,68
yokadouma,CM,3.5167,15.05,70.83,70.83,0.94,100,99
severo-kurilsk,RU,50.6789,156.125,45.93,45.93,12.86,20,75
ilulissat,GL,69.2167,-51.1,30.22,30.22,8.05,100,47
kuybysheve,UA,47.358,36.6491,48.07,48.07,14.61,100,27
faanui,PF,-16.4833,-151.75,78.37,78.37,4.63,11,70
sioux lookout,CA,50.1001,-91.917,62.67,62.98,9.22,75,88
labuhan,ID,-6.8844,112.2051,77.59,77.59,8.63,68,80
kununurra,AU,-15.7667,128.7333,75.18,75.18,6.91,18,69
torbay,CA,47.6666,-52.7314,43.0,45.57,23.02,90,86
fort smith,US,35.3859,-94.3986,93.92,95.38,13.8,1,23
sambava,MG,-14.2667,50.1667,69.94,69.94,11.77,18,79
kodiak,US,57.79,-152.4072,53.11,53.11,16.11,90,47
udachnyy,RU,66.4167,112.4,33.06,33.06,9.15,100,99
sarangani,PH,5.4033,125.4636,84.15,84.15,18.57,100,76
upernavik,GL,72.7868,-56.1549,32.7,32.7,15.19,99,57
half moon bay,US,37.4636,-122.4286,69.93,75.51,8.05,1,50
college,US,64.8569,-147.8028,36.82,39.22,3.44,75,87
airai,TL,-8.9266,125.4092,61.56,61.56,1.97,97,45
mitsamiouli,KM,-11.3847,43.2844,76.26,76.26,12.28,8,81
saint-francois,FR,46.4154,3.9054,48.78,49.48,3.44,40,92
barela,IN,23.1,80.05,70.66,70.66,2.28,13,66
labytnangi,RU,66.6572,66.4183,27.99,27.99,12.93,9,76
parana,AR,-31.732,-60.5238,74.57,75.56,13.49,0,44
minab,IR,27.1467,57.0801,85.5,85.5,8.77,0,21
codrington,AU,-38.2667,141.9667,52.41,52.41,9.48,29,63
charters towers,AU,-20.1,146.2667,73.65,73.65,12.88,26,67
taoudenni,ML,22.6783,-3.9836,93.6,93.6,7.56,86,9
iwanai,JP,42.9744,140.5089,53.91,53.91,9.84,63,84
port hardy,CA,50.6996,-127.4199,50.18,50.18,14.97,90,93
taltal,CL,-25.4,-70.4833,61.74,61.74,5.77,16,62
sao miguel,BR,-5.4667,-35.3667,81.37,81.37,16.87,45,79
cockburn town,TC,21.4612,-71.1419,84.16,84.16,8.05,40,70
victor harbor,AU,-35.5667,138.6167,53.49,54.0,1.99,66,62
saskylakh,RU,71.9167,114.0833,6.82,6.82,2.95,100,99
namatanai,PG,-3.6667,152.4333,81.41,81.41,5.06,67,77
vila do maio,CV,15.1333,-23.2167,79.59,79.59,10.22,0,81
bathsheba,BB,13.2167,-59.5167,83.01,83.01,13.8,40,83
port blair,IN,11.6667,92.75,80.22,80.22,17.09,100,82
kisangani,CD,0.5167,25.2,74.41,74.41,2.51,88,83
chufarovo,RU,54.0963,47.3367,39.4,39.4,4.34,31,71
bardiyah,LY,31.7561,25.0865,74.64,74.64,10.25,0,57
hun,LY,29.1268,15.9477,78.73,78.73,11.5,1,18
turukhansk,RU,65.8167,87.9833,23.43,23.43,18.03,100,75
bristol,US,41.8334,-71.1662,59.86,62.01,4.0,98,78
iqaluit,CA,63.7506,-68.5145,34.7,35.33,2.3,90,93
aquiraz,BR,-3.9014,-38.3911,82.49,82.49,11.5,78,76
moose factory,CA,51.2585,-80.6094,67.98,69.8,6.91,90,83
fairview,US,40.8126,-73.999,65.08,67.53,8.05,90,75
yarensk,RU,62.1675,49.0916,32.29,32.29,1.92,81,85
berezovka,BY,53.7214,25.4993,39.65,39.65,3.51,0,82
souillac,MU,-20.5167,57.5167,71.98,72.36,14.97,75,83
ewa beach,US,21.3156,-158.0072,79.39,82.35,20.0,90,68
belyy yar,RU,53.6039,91.3903,44.49,44.49,11.18,0,61
mugur-aksy,RU,50.35,90.5,12.13,12.13,6.38,7,79
riyadh,SA,24.6877,46.7219,80.74,80.74,3.87,1,17
maniitsoq,GL,65.4167,-52.9,33.17,33.17,14.32,100,69
artsyz,UA,45.9919,29.4182,43.47,43.47,9.89,11,40
chara,RU,56.9064,118.2631,29.41,29.41,1.61,26,62
bambous virieux,MU,-20.3428,57.7575,71.85,72.21,14.97,75,83
nuuk,GL,64.1835,-51.7216,34.41,34.41,10.36,75,80
damietta,EG,31.4165,31.8133,75.09,75.09,9.62,0,66
valley,US,45.1277,-116.1262,44.76,45.21,5.23,58,45
itacare,BR,-14.2775,-38.9967,75.09,75.09,9.75,97,91
omutninsk,RU,58.67,52.1932,42.62,42.62,5.08,100,98
acapulco,MX,16.8634,-99.8901,87.62,87.62,8.05,75,74
karsava,LV,56.7841,27.6883,38.86,38.86,5.73,23,77
bonfim,BR,3.0833,-59.95,93.15,93.15,4.47,98,63
isla vista,US,34.4133,-119.861,74.89,81.07,6.91,1,45
saint anthony,US,45.0205,-93.218,75.34,78.06,5.01,1,68
eregli,TR,37.5133,34.0467,60.15,60.15,0.4,0,23
remedios,CU,22.4947,-79.5458,88.72,88.72,9.15,100,76
juegang,CN,32.3174,121.1855,75.94,76.98,5.86,2,94
buala,SB,-8.145,159.5921,83.1,83.1,3.24,87,71
jilin,CN,43.0,126.0,51.08,51.08,14.99,100,79
ler,SS,8.3018,30.1418,73.44,73.44,4.74,96,89
kungurtug,RU,50.5994,97.5228,22.21,22.21,2.59,6,83
mokrous,RU,51.2333,47.5167,43.54,43.54,6.13,0,56
ayan,RU,56.45,138.1667,41.05,41.05,6.62,69,57
palmer,US,42.1584,-72.3287,59.88,62.49,3.44,90,69
tiksi,RU,71.6872,128.8694,15.98,15.98,3.15,77,90
tilichiki,RU,60.4667,166.1,26.98,26.98,3.18,22,69
te anau,NZ,-45.4167,167.7167,54.21,54.21,2.93,56,60
naliya,IN,23.2667,68.8333,81.37,81.37,7.63,0,76
madisonville,US,37.3281,-87.4989,86.81,87.4,11.56,100,52
inuvik,CA,68.3499,-133.7218,31.01,32.04,5.75,75,80
ahipara,NZ,-35.1667,173.1667,57.61,57.61,10.33,99,72
pevek,RU,69.7008,170.3133,24.91,24.91,3.18,100,93
hilo,US,19.7297,-155.09,76.5,79.29,4.61,90,81
adamas,GR,36.7333,24.4333,65.62,65.62,3.74,9,80
zhangye,CN,38.9342,100.4517,37.44,37.44,2.95,0,25
aksarka,RU,66.5606,67.7975,28.42,28.42,12.01,23,70
kysyl-syr,RU,63.8986,122.7617,33.84,33.84,11.72,100,97
mogadishu,SO,2.0371,45.3438,78.21,78.21,11.05,51,89
dingle,PH,10.9995,122.6711,74.66,74.66,8.97,100,96
tarare,FR,45.8976,4.4327,50.59,53.13,1.01,51,89
nikolskoye,RU,59.7035,30.7861,51.49,52.88,5.35,98,84
saint-philippe,RE,-21.3585,55.7679,69.35,71.19,14.92,44,86
porto belo,BR,-27.1578,-48.5531,65.73,68.16,10.33,100,49
glendive,US,47.1053,-104.7125,51.49,55.96,12.66,90,90
port hedland,AU,-20.3167,118.5667,66.25,66.25,8.05,0,42
barreirinhas,BR,-2.7469,-42.8264,80.8,80.8,8.3,91,79
shimoda,JP,34.6667,138.95,66.11,66.11,10.4,74,87
merzifon,TR,40.8733,35.4631,53.06,53.06,3.44,0,82
katsuura,JP,35.1333,140.3,69.67,70.2,2.84,36,83
broome,US,42.2506,-75.833,63.16,66.83,1.01,90,69
garden city,US,42.3256,-83.331,74.23,77.49,10.36,75,63
kathu,TH,7.9178,98.3332,84.69,84.69,17.78,99,95
mira,IT,45.4358,12.1348,53.29,56.88,11.5,0,64
barra do corda,BR,-5.5,-45.25,83.1,83.1,4.32,100,60
oxbow,CA,49.2333,-102.1676,53.64,60.75,10.42,100,58
mersing,MY,2.4312,103.8405,78.71,78.71,4.61,99,94
carballo,ES,43.213,-8.691,59.11,63.01,8.01,59,86
talnakh,RU,69.4865,88.3972,15.1,15.1,9.51,49,93
atar,MR,20.5169,-13.0499,91.96,91.96,7.99,100,14
gunib,RU,42.3876,46.9651,42.89,42.89,2.93,42,62
bandarbeyla,SO,9.4942,50.8122,78.12,78.12,18.07,88,82
ninotsminda,GE,41.2646,43.5916,32.45,32.45,4.99,0,67
kimbe,PG,-5.5502,150.1429,80.31,80.31,2.57,100,84
taksimo,RU,56.3444,114.8794,31.17,31.17,2.3,86,74
sakakah,SA,29.9697,40.2064,81.97,81.97,10.65,0,17
saint-joseph,RE,-21.3667,55.6167,68.7,70.18,13.47,38,82
el alto,PE,-4.2714,-81.2147,67.66,67.66,16.89,93,77
adolfo lopez mateos,MX,28.4667,-107.3,80.92,80.92,17.47,0,23
axim,GH,4.8699,-2.2405,78.28,78.28,8.61,100,88
jibuti,DJ,11.5,42.5,81.82,81.82,15.59,96,67
rodrigues alves,BR,-7.738,-72.6509,75.4,75.4,2.06,95,70
ushtobe,KZ,45.2514,77.9838,44.76,44.76,5.17,100,35
pacific grove,US,36.6177,-121.9166,68.74,76.15,10.0,1,52
alice springs,AU,-23.7,133.8833,67.55,67.55,5.75,75,49
keetmanshoop,NA,-26.5833,18.1333,65.25,65.25,11.18,52,24
paita,PE,-5.0892,-81.1144,70.36,70.36,18.21,70,78
pahrump,US,36.2083,-115.9839,72.61,75.06,7.0,46,24
